,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
138,3.0,0.0,15.0,5.0,3.0,1.0,0.0,0.0,19.0,5.0,6.0,1.0,5.0,2.0,3.0,0.5
139,2.5,1.0,12.0,3.0,3.0,1.0,0.0,0.0,18.0,4.0,5.0,1.0,4.0,2.0,2.0,0.0
140,2.0,0.0,11.0,3.0,2.0,1.0,0.0,0.0,16.0,4.0,6.0,1.0,3.0,1.0,2.0,0.0
141,1.0,0.0,9.0,2.0,2.0,1.0,0.0,0.0,14.0,3.0,7.0,1.0,3.0,1.0,2.0,0.0
142,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,12.0,3.0,6.0,1.0,3.0,1.0,1.0,0.0
143,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,10.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0
144,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0
145,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,7.5,2.0,3.0,0.0,1.0,1.0,1.0,0.0
146,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0
147,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.5,1.0,2.0,0.0,1.0,0.0,1.0,0.0
148,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
149,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
150,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
151,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
152,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0
153,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
154,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0
155,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0,3.0,1.0,0.0,0.0
156,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0
157,0.0,0.0,8.0,2.5,2.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0
158,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,7.0,2.0,2.0,1.0
159,1.0,0.0,11.0,5.0,1.0,0.0,1.0,0.0,6.0,1.0,3.0,1.0,6.0,1.0,1.0,0.0
160,2.0,0.0,14.0,10.5,2.0,1.0,0.0,0.0,8.0,2.0,4.0,1.0,8.0,2.0,1.0,0.0
161,2.0,1.0,15.0,9.0,2.0,1.0,0.0,1.0,9.0,2.0,5.0,1.0,10.0,5.0,3.0,1.0
162,3.5,1.0,19.5,12.0,2.0,2.0,1.0,2.0,11.0,4.0,7.0,1.0,11.0,7.0,5.0,1.0
163,7.0,1.0,25.0,24.0,5.0,5.0,3.0,2.0,15.0,7.0,10.0,2.0,12.0,9.0,5.0,1.0
164,7.0,2.0,36.0,38.0,5.0,7.0,2.0,4.0,22.0,12.0,10.0,2.0,17.0,13.0,9.0,2.0
165,6.0,2.0,43.0,44.0,8.0,7.0,2.0,3.0,28.0,15.0,14.0,3.0,20.0,15.0,14.0,3.0
166,8.0,2.0,43.0,47.0,9.0,9.0,4.0,4.5,37.0,26.0,14.5,3.0,26.0,15.0,15.0,4.0
167,9.0,3.0,46.0,55.0,13.0,16.0,6.0,5.0,34.0,27.0,19.0,4.0,24.0,17.0,13.0,4.0
168,11.0,3.0,53.0,62.0,16.0,12.0,4.0,7.0,40.0,30.0,21.0,4.0,31.0,18.0,18.0,4.0
169,11.0,3.0,59.0,73.0,13.0,12.0,5.0,4.0,50.0,30.5,21.0,5.0,38.0,15.0,21.0,4.0
170,12.0,4.0,68.0,84.0,10.0,28.0,10.0,4.0,56.0,37.0,23.0,7.0,52.0,17.0,24.0,6.0
171,13.0,4.0,72.0,92.0,12.0,21.0,9.0,4.0,55.0,36.0,24.0,8.0,59.0,14.0,23.0,6.0
172,14.0,4.0,77.0,92.0,15.0,13.0,5.0,6.0,58.0,43.0,27.0,10.0,68.0,13.0,23.0,6.0
173,14.0,4.0,78.0,92.0,18.0,14.0,6.0,7.0,59.5,44.5,31.0,12.0,75.0,15.0,22.0,7.0
174,12.0,4.0,75.0,83.0,18.0,15.0,5.0,10.0,64.5,48.0,33.0,13.0,83.5,16.0,23.0,8.0
175,13.0,4.0,68.0,65.0,22.0,16.0,6.0,8.0,63.0,49.0,30.0,12.0,71.0,16.0,20.0,8.0
176,14.0,4.0,64.0,57.5,22.0,16.5,7.0,9.0,61.0,47.0,28.0,10.5,61.0,13.0,20.0,7.0
177,14.0,3.0,64.0,54.0,25.0,17.0,9.0,10.0,61.0,45.0,28.5,8.0,51.0,13.0,18.0,8.0
178,13.0,3.0,66.0,52.0,26.0,20.0,8.0,10.0,63.0,47.0,27.0,9.0,48.0,13.0,16.0,7.0
179,15.0,4.0,61.0,47.0,22.0,20.0,9.0,9.0,66.0,46.0,27.0,8.0,37.0,11.0,15.0,6.0
180,15.0,4.0,61.0,45.0,23.0,21.0,9.0,9.0,64.0,50.0,28.0,9.0,36.0,12.0,15.0,6.0
181,15.0,3.0,62.0,48.0,24.0,20.0,9.0,10.0,65.0,48.0,27.0,8.0,35.0,12.0,14.0,5.0
182,16.0,4.0,63.0,48.0,25.0,19.0,8.0,11.0,66.0,51.0,28.0,8.0,37.0,12.0,14.0,6.0
183,15.0,4.0,62.0,46.0,26.0,19.0,9.0,12.0,65.0,49.0,28.0,9.0,33.0,11.0,14.0,6.0
184,16.0,3.0,62.0,47.0,27.0,19.0,9.0,11.0,71.0,53.0,31.0,9.0,32.0,11.0,14.0,6.0
185,17.0,4.0,62.0,49.0,28.0,19.0,9.0,11.0,70.0,51.0,30.0,10.0,34.0,12.0,14.0,6.0
186,17.0,4.0,63.0,49.0,29.0,19.0,8.0,11.0,75.0,53.0,32.0,11.0,35.0,11.0,16.0,7.0
187,18.0,4.0,62.0,48.5,27.0,19.0,8.0,10.0,72.0,52.0,32.0,10.0,33.0,12.0,15.5,6.5
188,17.0,4.0,66.0,54.0,28.0,19.0,8.0,11.0,73.0,54.0,30.0,11.0,36.0,13.0,16.0,7.0
189,17.0,4.0,64.0,53.0,29.0,21.0,8.0,12.0,73.5,53.5,29.0,9.0,38.0,11.0,17.0,7.0
190,17.0,4.0,63.0,51.0,26.0,25.0,8.0,10.0,80.0,56.0,31.5,9.0,37.5,13.0,17.0,8.0
